[2021-02-03 22:09:31][4] Processing: App\Jobs\ProcessAwardCodes
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
Insertando para award -> 4
[2021-02-03 22:09:50][4] Failed:     App\Jobs\ProcessAwardCodes
[2021-02-03 22:10:05][1] Processing: App\Jobs\ProcessAwardCodes
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
Insertando para award -> 1
